Silver(00:00:00): 音频也可以。
孙玲(00:43:42): 但我觉得刚刚你聊聊到这种内容产出现金，所以是很现实的，确实就是得你现在理想中稳定的一个现金流，自己有一个数会到什么数，你会觉得安心。

Silver(00:44:01): 我觉得我想要的还好，我觉得一个月三到5000对我来说就已经足够生活了。就是你如果不考虑攒钱的话。但是我觉得攒钱出去这个事情好像书读什么时候读书都可以读，但是我觉得好像我需要在读书之前，我先仔细的抉择一下，我要到哪去读书。就是我之前因为我现在开始刷留学的资讯之后就小红书一直给我推各种各样的信息，然后这个信息你自己去甄别一下就有的什么半工半读或者读那个，我觉得好像也可以，然后可能你现在刷到另一个，我觉得好像也可以。然后我觉得自己就是我觉得这也我自己基本上公证书什么的也都办了，因为包括之前有申请成功的经历，就能够申上是。问题不是很大的，因为我也不是说非要去读什么名校，就自己会有点犹豫，说好像一定要做一个完美的抉择，然后一定要读一个这个对我未来最的学校，所以说自己在这方面的话，反而择校或者是什么会。

孙玲(00:44:56): 对。

Silver(00:45:10): 想拖延的感觉，我想说慢慢来，等到以后再这个等到我足够的筛选，然后足够的积累了之后，我再去选择一个地方生活。好像我也不知道这个心态？

孙玲(00:45:26): 你刚刚提到一个完美的抉择，我觉得确实是会是一个幻想，我感觉。没有什么完美的抉择，只有抉择之后，让这个选抉择更加趋向完美，我觉得这个反而更加有可能一些，这个算算是一个理论上的一个一个观点哈。还有就是我觉得。当你攒够钱去找一个觉得自己心仪的学校确实就会需要更多的时间，更多的精力。我自己的一个方式确实就是做一点，做一步看一步，就是我现在当下有什么资源去做，那我就先用这个资源去先去做这个事情，然后再看看后面行不行。

孙玲(00:46:17): 当然我觉得确实就是一个不同的选择方式，我自己就是那种冲动型的选手就是做什么事情都比较冲动，但冲动一个好处，就是说我得到的反馈特别快。我也可能确实更多，更是一个比较反馈驱动的一个人，就是我看去。做一点事情，看了点反馈，那我就再去调整之类的，这是我自己可能做事的一个模式，我觉得这也得看事情，看人看环境。有时候自己意识到去做决定，有很多的风险，有很多的损失，那我就可以再看看之类的。

Silver(00:47:06): 但是我感觉其实你每一步的你说的冲动也好，风险也好，但是其实是你自己有在兜底，并且你一直在努力的让这个风险更小。就是你不是说一味的就，而且你不是凭着自己的欲望在做事情，我觉得是不是说今天想干什么就干什么，我觉得我是就是。

Silver(00:47:29): 通过你分享的文字，还有包括和你交流的状态，我都感觉到你说的那种冲动是怎么说，就是一种反馈，我觉得反馈驱动其实是一个比较正确的做事的方式，可能也是因为我现在做事比较少，家里蹲比较多，然后包括自己现金流不稳定的话，会对出门有一些的恐惧。会有这种原因，在可能有时候收到一些鼓励，就会觉得外面的世界比我们想象的可能要稍微好一些，因为我并不是要接触那种最职场最的环境，我只是想要到外面去找到一个我的容身之地，是一定可以找到的。

孙玲(00:48:08): 最糟糕，有没有想过自己就是去。旅居或者其他方式就是自己能想能把最高的情况想出来吗？会有偶尔能想到就能够有一点。就是假设去做这个事情，即使心情也不稳定，我最后可能最糟糕的情况是什么？有思考过这个吗？能不能接受这个样子的最糟糕的情况？

Silver(00:48:35): 我觉得。我觉得最高的情况可能有两种吧，一种就是真的是身体受伤了，面临是很高的医药费啥的，但我觉得是可以提前去买一些医保去冲规避这个风险，说实话。我出去了一年，我从来没有过这种情况，因为我对自己的保护还是比较重视的，然后另一方面真的是被骗了，或者是被。被刮一个或者是怎么怎么样，然后因为之前有一个那种体制内的人跟我说，他跟了一句特别吓人的话，他说要不是国家出手打击了一波这个诈骗，你现在人已经在缅甸了。然后我就会觉得我都会觉得超级吓人，我那个时候我真的特别相信他，我觉得他是一个神一般的权威，然后这句话说了之后，我就对自己心态特别迷茫。

孙玲(00:49:37): 那我感觉你有自己的一个主观判断的话，遇到这些稍微1.2可的，或者是不太熟悉的信息的时候，你还是有自己的一个甄别的吧。

Silver(00:49:40): 但是。

Silver(00:49:51): 对因为我后来我跟我朋友讨论了这个事情，包括也找了一些咨询师，他说其实这个我觉得本质还是在通过恐惧去。控制你想要你走到远来的道路上，就你自己判断，我平时根本就不找不搞这些电闸不搞这些灰尘就又不是在那个。那种国家就怎么可能会说到这种程度，我在每一个地方，我都会和社区有一个比较强的联系，我也每次到一个地方，我也会跟我的家人去联系，我觉得他。说这种话就是恐吓居多吧，当时会觉得很伤心。

孙玲(00:50:25): 我觉得是很比较应激式的就是遇到人恐惧的时候，往往就会相信最身边的第一个声音，或者是就是身边比较大的比较权威，他给到的声音是很比较自然的一个。应急师的一个反应，我觉得你现在有这样子的一些认知会很难被拐骗，有点难度。

Silver(00:50:56): 对我觉得我算比较谨慎的了，我现在都在鼓励自己更加的开放一些。我今天我昨天晚上我还发了个朋友圈，我说我感觉人都有复杂的这个支持系统，我感觉就是，就好像我会有种感觉，好像所有人都在让我多多的考虑风险，但他们不知道我留下来对我来说，我才是最难过的，就是被这种单一的认知。只有这种单一的认知，然后包括自己身体上感受就是已经明显的出现了这种躺平或者是痛苦的，但是他们却不考虑这种风险，我觉得是。

Silver(00:51:36): 不太对的就是，而且包括我也有看到一些博主，他们是旅居也好，或者是自己高考完自己，然后再攒钱，然后从国内的大学退学去考国外的大学，我觉得这些都是完全可以达成的一个路径。当然了，大家都有各种各样的压力，但是。就像你说的，我们要聚集起自己的力量，然后找一些认同你的人在一起，然后就是慢慢的就是可能让他们看到说我们这条路也是走得通的，就是他们可能也不会管那么多。

孙玲(00:52:11): 如果你之后想要做一些内容的话你。能想到的一些角度比较独特的角度，如果你现在你说好像你好像有提到，就是做自媒体，现在也可以有偶尔有一些广告也会有可以帮你积累一些现金。

Silver(00:52:37): 对我之前是做留学这个垂直类目的，说实话就是粉丝就可能不多就几百个，但是变现还挺强的。但是我现在不做这个东西之后，就然后现在流量就做不起来，就哪怕有时候分享一些自己的认知或者思考，就一方面就是可能比较年轻，另一方面思考的也不是那么全面，有时候。咋说，就还是有一种不够，反正就没有太获得这个市场的认可，就不像留学，它是直接承接它可以承接一系列的业务下来。然后可能说我之后也可以持续的去做这个事情，分享一些这种信息差啥的，就是你还是得要承接，就反正做之前要想好自己的变现路径吧，我之前有想就是。就是慢慢的积累，做个什么自己的课程，什么知识付费，但是都得要你，你首先得要自己有一个实际在里面，别人才会觉得听你的课是有用的，不然自己都没有的话肯定是。别人是不相信的。

孙玲(00:53:46): 你现在更想是追求影响力还是说是变现？

Silver(00:53:58): 短时间的话，我感觉我也不知道，就是我感觉变现好像就是靠这种投稿完去写一个具体的什么东西，就是他们有个具体什么文案要求让我去做，然后稍微有一点就可以了。就是自媒体这方面，我可能确实还没有想的很清楚，我就想记录一些这种旅居的这种见闻，可能就是思考各种角度啥的，可能会从这个方面去出发。

孙玲(00:54:23): 除了现金流，能产生一些现金给你带来一些收入之外，就还有哪些方式？你觉得自己是认可的自己，还相信有可以给你赚足生活费什么之类的。

Silver(00:54:47): 我现在就是我去找那种义工旅居，它是能够保证我一个基本的衣食住行，好像保证了之后，我对。我说实话，我物语也没有那么强，就是反正保证了之后我就会觉得还好，然后但是怎么说。我目前好像想到的是这样，是不是直接去赚钱，然后就自己给自己租房，给自己买东西，而是直接去用自己的劳动去置换这样一个基础的生存。然后这样的话就那种边玩边找的感觉，但是说实话就自己手上没有钱的话，还是有点心慌的，之前也有想过，就是比方说去 youtube 上做一个什么博主那种玄学博主或者是干啥。然后去接这种私单之前接的也挺好的，那现在没客源了，就是反正做自媒体前要先把业务想我还这一天我想可以录一个什么面试视频啥的，但是。重就是感觉我想的这一切都是不稳定的，都是随着我的这个状态或者市场浮动，然后并且的话怎么说，并且。我可能自己本身也不是可能，我也很厌恶，每天去固定上班这种工作，我宁可自己去找一个地方，我每天去弄完之后能够保证我有。基本的衣食住行好像这样也可以了，但是但我但是别人就会说，你这样的话就会废掉啥的，但我每次就感觉很想反驳，但是又很难去证明我觉得自己是得要自己。

孙玲(00:56:32): 因为自媒体这条道路，这条路其实还是会不稳定，但是如果你想要去做旅居，然后做义工，然后至少是可以至少是生活在不同的地方，你想生活的地方。

Silver(00:56:40): 对。

孙玲(00:56:50): 活下去是完全没问题的。

Silver(00:56:52): 对。

孙玲(00:56:54): 就还有没有什么其他的事情让你就如果你现在只能专注一两件事情，最希望自己积累一些什么，或者专注什么。

Silver(00:57:05): 我最希望积累的就是写作的经验，或者是一些我有感觉到我之前每次去公开的发言。或者是我去表达一个观点，我觉得这个是我比较强项，然后包括写一些记录一些东西，就是就这方面的积累吧。还有就是包括我觉得去很多地方本身它也是一种积累，但它可能是一个长期的，你要到很多年之后，你才能看到说，这给你的人生带来了什么重大的影响，有什么重大的素材，短期的话。好像就是卡在这样一个状态里边，这好像所有的东西都是你要长期积累的，但短期的话我就是只能靠着不稳定的收入，然后每天可能就是有点拮据的生活，然后自己可能就不是很想去做一个坐班的类型，然后就是靠着那种基础的义工的工作，像民宿里面可能说做饭或者是整理房间，或者是这种东西去。换取基础的生存条件。

孙玲(00:58:11): 尤其是长期积累，可能就需要更多的这种自律，就如果看不到一些效果的时候，可能会失去动力，可能会被其他的一些分心的事情给带走，尤其是在又在尝试一些不同的事情，融资媒体很容易就是会分心会被占据，被其他事情所占据。

Silver(00:58:19): 对。

孙玲(00:58:39): 所以我觉得这个时候得实施对也不是实施吧，就可能思考一下自己的优先，以及自己最关注最想守护的最想关注的是什么。

孙玲(00:58:52): 刚刚你说最希望积累自己的思考过程，一些写作能力，然后表达能力，我觉得这个就可能比自媒体是不是更加重要了，就去变现，就如果这个同时我就有一个空间表达，你也可以表达。能够又能够积累你的写作能力，那它变现是一个 nice to have 的东西。如果它不能变现的话，我觉得就是如果你这个是你想积累的话，我觉得也是在做一个正确的事情，做自己想做的事。自己当下对你来说，我觉得是一个积累的事情，积累的步骤。

Silver(00:59:33): 我也觉得在这方面，我觉得我的耐力是比较强的，并且这个明显的能够感觉到我这个对文字的捕捉表达，还有就是阅读能力都还是。比较强的就每天我觉得每天在电脑面前写几个小时，对我来说是可以接受的，就是远比那个自我班要能够接受的多，然后可能这方面最重要的就是一个持续和自律吧，就不管做什么做自媒体的，你得你，你也要像上班一样去每天的入口播剪视频。做这个写作你也得像上班一样，每天就在电脑面前坐这么几个小时，就是得要有这种状态才能够说有持续的变现。可能我现在确实是有点心力不足，而且比较迷茫，然后又有各种各样的恐惧和压力，就是觉得。好像就很难静下心来去做一件事情，只要能够保持基本的生存就还好了，就可能说也要去自己。自己自律一下，然后。就是能够看到说这样的动作做下去之后，你就会有一个比较强的反馈，然后这样的事情才是我能够说是真正的那个长城在做。

孙玲(01:00:53): 哪一些是假设，你知道自己不会失败，那你会想着尝试什么东西事情？

Silver(01:01:05): 我知道自己不会失败吗？

孙玲(01:01:09): 这个失败确实又是一个定义就是怎样才算是失败，怎样是成功，所以这个又是一个比较抽象的问题吧，我觉得你想到什么就可以分享什么，不一定对。

Silver(01:01:23): 我第一反应可能是去做一些商业的 ID，但是什么，我又会觉感觉很抽象，因为我之前想的都是靠自己。写作就是一对一的服务，然后去以件计价，有点像这样的一个情况，以件计价卖自己的时间卖自己的作品。之后如果说就什么都不会失败的话，那肯定是直接搭建一个什么商业系统，然后创业卖产品就还是在这样想吧。但是卖啥具体又做什么，我就会觉得一片空白。

孙玲(01:02:03): 但是你已经有那种产品思维了，我最近才意识到我之前我因为才意识到，我应该要带着这种产品思维去对待我自己的一些时间。我在做这个事情，我如果能做出一些对他人有价值的产品，那会是一个什么样的产品，大概就是这样想，而不是说因为。我觉得这个是一个过程，我觉得只有积累到自己可能有一定的经历，然后也有一些阅历能够。

孙玲(01:02:43): 把自己的一些输出整理成一个产品，可能也是需要蛮长，可能需要一些时间的，不是说一蹴而就可以成，确实是，但是我觉得你现在就有这种产品思维其实就还在过程之中。就已经很不错了，很了不起了。

Silver(01:03:03): 谢谢，其实你刚刚画有一句还挺奇葩的就是整理自己的输出成为产品，其实就已经是知识付费了，我之前就觉得只有一整套课程才能够是知识付费。其实只要你做一个小小的问卷，或者是 SOP，它是完全可以挂出去卖的。

孙玲(01:03:23): 并且我觉得是你自己在做一些输出的时候，也在帮助你清晰自己的价值观，清晰自己的一些事情，所以你做这个事情也会很认可，很开心，会比较开心自己满足自己做的事情。

Silver(01:03:39): 是的，我感觉好像今天交流下来，我真的是受到了很多的鼓励。我感觉我现在想有点想把视频打开也可以吗？

孙玲(01:03:56): 可以感觉现在都没有断。

Silver(01:04:02): 希望等一下不要再看，就是我会觉得今天就是收到了这么多的鼓励，然后就是这一方面，包括就是我们真的在讨论就是具体的现金流应该要做什么，也有一些启发在里面。托布花他的那种思想就是可能说你要去找一个本来就认可你的这种企业家，然后本来就认可你的这种人，他有这种空间愿意给你容纳，然后包括就是自己，其实。完全就是可以做一个产品，是的，这种产品不需要多么的详细，不需要动的，只要你。水平比有人高，那就会有需求，那就可以去卖了，那只要你哪怕是非常狭窄的一个渠道，中国人这么多也会有市场的，就是我觉得可能要抱着这样的一个心态去思考问题会要好一些，不然之前的话确实会觉得。很恐惧，很贫穷，很匮乏，但是但最近也是努力在改了，包括就是有晚上看什么闲话什么啥的。然后也许就是在有一些积累之后，我的生活会有一些变化，然后时候的话，如果我也想说再跟您交流，然后之后如果是真的到西雅图来，我也会联系你。

孙玲(01:05:30): 没问题，你现在哪个城市？

Silver(01:05:31): 我现在湖南的株洲。

孙玲(01:05:35): 我们那么近和我家乡很近耶！我家乡是娄底的。

Silver(01:05:42): 你你在你是哪？

孙玲(01:05:45): 娄底新化。

孙玲(01:05:50): Hello. 有点卡楼底薪的话。那我这不可能吃老乡吗？

Silver(01:05:57): 又卡了楼底吗？

孙玲(01:06:00): 对。可想看了。

Silver(01:06:13): 没有这种绽放好，现在你是刚刚说你轻化娄底新化。

孙玲(01:06:24): 对了。对。

Silver(01:06:25): 我觉得说不定一起的。Ok. Ok. 那你你现在？

孙玲(01:06:32): 我们刚刚说哪里是的？

Silver(01:06:39): 你现在你想和家人一起？

孙玲(01:06:50): 有点断断续续的，我刚刚没有听清楚。

Silver(01:06:52): 去来吗？还是说其实不太？你现在会现在有。现在还在看？

孙玲(01:07:20): 对我只听到我现在会，你现在会后面就没有听到了。挺卡的。不知道你能不能听到我看到你的问题了，我家人的话，他们是不会想着过来，首先我家也是。我爸我妈护照都没有，可以去办护照，然后我家之后可能我侄子就是我哥的小孩，他现在已经读在读高一，马上读高一，可能我觉得他。小孩的话可以过来玩一玩，但是他们不会不过来，确实就跟家人的关系就会比较疏远，像两个平行世界一样。他们不知道我这边的生活状态，我大概能了解家里的一些生活状态也很少。有这种非常深的真实的链接就是偶尔可以八卦一下，聊一聊。

Silver(01:08:51): 那他们会关注你的这些媒体上的东西吗？

孙玲(01:09:01): 几乎不会关注我不知道他们，我妈甚至都不知道骨骼是什么，我哥可能也不太清楚，他们也可能也没太多的时间。对。所以是我就跟家人的关系就是可以更好，但是我也是一个比较卡住的一个状态，也不知道怎么去让我跟家人的关系更加。是虐更加 close1些，也接纳这样子的一个状态吧，觉得他们也有自己的事情，然后好在就是我们。我哥他们还是在一起，那我就提供一些经济方面的支持，剩下的话就过年的时候尽量就回家过年。

Silver(01:09:54): 如果你来湖南，也许我们也可以联系我有时候过年要回来。

孙玲(01:10:03): 你在株洲？

Silver(01:10:02): 一般是在株洲，偶尔可能去邵阳。

孙玲(01:10:13): 少爷好像蛮近的。看看之后我们能不能线下见面。

Silver(01:10:13): 所以。对你刚刚说你35岁的时候，我第一反应是怎么这么年轻，我就是你现在卡吗？

孙玲(01:10:28): 不卡可以听到。

Silver(01:10:30): 因为我会觉得好像你的经历就是已经好像活了别人的一生，然后包括就是能够链接到你能够听到其他人在讨论你，然后能够和你自己能够和你直接接触，我也觉得特别幸运，然后也很开心。然后并且又收到你这么多鼓励，我也会觉得我对我自己的肯定又多了一点，我也会觉得我自己更有力量去坚持自己心里的想法。并且说咱们还这么有缘，还居然还是老乡，然后是对，所以我也会觉得就是可能反正之后人生都很漫长，我觉得你。

Silver(01:11:14): 就是我们之后肯定会再有机会有一些更深的链接，因为我觉得我们的底层价值观是类似的，我们都想要有更大的世界。并且我们会努力的执行，我们的发展路径也有一些类似的都会通过自媒体去扩大自己的影响力，也许未来的世界什么样谁也不知道，反正我觉得就反正就很珍惜今天能够和你在一起交流的时光。

孙玲(01:11:42): 我也是我很欣赏你对自己经历的一个梳理和对自己的坦诚，我也看看，看到了这种生命力，你知道吗？我觉得你是身上有很强的生命力，当然这种勇气我觉得确实你也。也不需要那么着急，就是马上把所有的问题都解决好，我觉得你现在的一些探索尝试它这个过程本身就是一个积累好这种动力，我觉得如果缺乏动力的话。

孙玲(01:12:12): 真的就可以在行动中去尝试，给自己一些时间，给自己一些空间去慢慢尝试，稍微尝试可能有更多的一个清晰度之后，可能就会越来越有自己的一些方向和动力，不一定要那种很大的实验，我觉得就是那种小周期的就是短一些。短短时间比较实现一段时间去做一段时间，可以看看自己的一些状态感受。对我觉得根据每一次尝试都是一次积累，我觉得每一步都不会被浪费的。

Silver(01:12:48): 最后我想和大摄像头合个影可以吗？就稍微。

孙玲(01:12:57): 对。

Silver(01:13:00): 记录一下，我可能等一下会发到朋友圈，你会介意吗？

孙玲(01:13:06): 不介意，我可以把视频打开。

Silver(01:13:10): 等一下我可能。好截个图。

孙玲(01:13:18): 好。

Silver(01:13:22): 那就很感谢你的时间，那你也早点休息。

孙玲(01:13:30): 也谢谢你的时间，如果你有一些问题疑问或者是想法，如果只要你感到舒服，可以愿意跟我分享的话，我们都可以继续在微信上面连接，保持连接。

Silver(01:13:46): 好的会的拜拜。

孙玲(01:13:46): 咧拜拜。
