id,kind,record_type,title,primary_theme,tags,layers,privacy_level,status,source_path,source_consult_id,record_path
issue-20260611-nontraditional-developer-niche-in-elite-field,03-issue-units,,普通人如何在精英挤满、门槛极高的前沿技术领域找到自己的位置？,文科转码,"转码, 机器人, AI, 非典型学历, 自我怀疑, 年轻女性","content, service, connection",anonymized,split,02-normalized/consult-20260611-cornelia-robotics-ai-transition.md,consult-20260611-cornelia-robotics-ai-transition,03-issue-units/issue-20260611-nontraditional-developer-niche-in-elite-field.md
topic-career-start-rebuild,04-topic-clusters,,职业起步和路径重建,早期职业迷茫,"早期职业迷茫, offer选择, 行动力, 职业重建, 英语, 副业, 年龄焦虑, 非典型路径","content, service, connection",anonymized,clustered,,,04-topic-clusters/topic-career-start-rebuild.md
topic-consulting-boundaries-collaboration,04-topic-clusters,,咨询流程和边界,私域沟通边界,"咨询流程, 私域边界, 合作邀约, 个人品牌, 角色边界","content, service",private,clustered,,,04-topic-clusters/topic-consulting-boundaries-collaboration.md
topic-degree-upgrade-stage-priority,04-topic-clusters,,学历提升和阶段排序,学历提升和考研,"学历提升, 考研, 自考, 找工作, 学校选择, 目标拆解","content, service, connection",anonymized,clustered,,,04-topic-clusters/topic-degree-upgrade-stage-priority.md
topic-family-boundary-self-choice,04-topic-clusters,,家庭影响和自我选择,家庭影响和自我边界,"家庭影响, 自我边界, 年轻女性, 倦怠, 创作, 自我怀疑, 生命力","content, service, connection",private,clustered,,,04-topic-clusters/topic-family-boundary-self-choice.md
topic-liberal-arts-nontraditional-cs-transition,04-topic-clusters,,文科/非典型学历转码,文科转码,"文科转码, 非典型学历, Python, Java, 培训班, 女性处境, 出国","content, service, connection",anonymized,clustered,,,04-topic-clusters/topic-liberal-arts-nontraditional-cs-transition.md
topic-overseas-study-work-path,04-topic-clusters,,出国读书和海外求职,出国读书和海外求职,"海外读书, 海外求职, 美国硕士, 英语, 签证, 非典型学历, 财务风险","content, service, connection",anonymized,clustered,,,04-topic-clusters/topic-overseas-study-work-path.md
topic-small-city-women-career,04-topic-clusters,,小城市女性职业起步,小城市女性职业起步,"小城市, 大城市, 找工作, 家庭压力, 女性处境","content, service, connection",anonymized,clustered,,,04-topic-clusters/topic-small-city-women-career.md
summary-20260611-cornelia,05-outputs,summary,给 Cornelia 的咨询后简单总结,早期职业迷茫,"职业转型, 行动力, 自我怀疑, 年轻女性, AI, 找工作",service,private,normalized,,consult-20260611-cornelia-robotics-ai-transition,05-outputs/client-summaries/summary-20260611-cornelia.md
connection-pool,05-outputs,output,连接池候选分组,,,,private,reusable,,,05-outputs/connection-pool.md
content-backlog,05-outputs,output,内容选题清单,,,,,reusable,,,05-outputs/content-backlog.md
service-offers,05-outputs,output,服务产品雏形,,,,,reusable,,,05-outputs/service-offers.md
visual-system,05-outputs,output,视觉系统：我常被问到的 100 个问题,,,,,reusable,,,05-outputs/visual-system.md
article-20260606-liberal-arts-cs-fit,06-article-drafts,article_draft,AI 时代，文科或非技术背景的人还需要学编程吗？,文科转码,"文科转码, 非典型学历, 编程, AI, 职业转型",content,private,draft,,,06-article-drafts/article-20260606-liberal-arts-cs-fit.md
